HEAD,HANDL,HANDR
-0.2102836;1.611886;0.2186543;0.39008;-0.05573234;0.2343346;0.8887175,-0.1541635;0.9876568;0.4587525;-0.4483129;0.2658001;0.7637337;0.3808895,-0.02060463;1.145248;0.4876143;-0.02839641;-0.5369336;-0.4803761;0.6929177
-0.2099977;1.609699;0.2212353;0.3919433;-0.05895238;0.2372313;0.8869196,-0.1519811;0.9823393;0.4605078;-0.4548024;0.2633255;0.7617036;0.378975,-0.02196404;1.144194;0.4909561;-0.02593435;-0.5376639;-0.4810795;0.6919592
-0.210337;1.604899;0.2258984;0.3946838;-0.06449184;0.2419939;0.8840275,-0.1494625;0.9782182;0.464379;-0.4645648;0.2593216;0.7578395;0.377639,-0.02313492;1.142856;0.4936561;-0.02505444;-0.5385945;-0.4808585;0.6914213
-0.2104932;1.60182;0.2283415;0.394699;-0.06730793;0.244131;0.8832228,-0.1476921;0.9760159;0.4657493;-0.470667;0.2559163;0.756463;0.3751574,-0.02448122;1.141976;0.4967276;-0.02487339;-0.5398561;-0.4801678;0.6909239
-0.2106015;1.598286;0.2304988;0.3938616;-0.06996824;0.2460183;0.8828661,-0.1463662;0.9739893;0.4678225;-0.4775591;0.251684;0.7559415;0.3703307,-0.02563706;1.14141;0.4991721;-0.02481968;-0.5408838;-0.4796946;0.6904504
-0.2106641;1.595248;0.2325209;0.3940631;-0.07254641;0.2484851;0.8818767,-0.14564;0.9726079;0.4692149;-0.4822363;0.2487512;0.7560149;0.3660773,-0.02605209;1.140354;0.4999251;-0.02472887;-0.5413831;-0.4795958;0.690131
-0.210941;1.592958;0.2346891;0.3963966;-0.07508271;0.2517974;0.8796763,-0.1449118;0.9708344;0.4715487;-0.4890006;0.2443521;0.7564692;0.359061,-0.02750767;1.138948;0.5029625;-0.02434588;-0.5418898;-0.479985;0.689476
-0.2113022;1.59132;0.2369467;0.4001504;-0.07784339;0.2554135;0.8766893,-0.1433174;0.9693389;0.4722013;-0.4950572;0.2403227;0.7568998;0.3525137,-0.02862422;1.137988;0.5051653;-0.02386973;-0.5419286;-0.4807795;0.6889084
-0.2114643;1.589627;0.2398604;0.4046361;-0.08106809;0.2591279;0.8732413,-0.1425344;0.9681523;0.4732926;-0.4983805;0.238182;0.7569225;0.3492199,-0.02945583;1.137421;0.50664;-0.02332657;-0.5417982;-0.4816267;0.6884375
-0.2114905;1.588043;0.2420853;0.4084707;-0.0843754;0.2624725;0.8701383,-0.1409475;0.9659986;0.4757391;-0.503549;0.2355074;0.755795;0.346047,-0.02991055;1.135227;0.5076669;-0.02210306;-0.5414225;-0.483226;0.6876523
