HEAD,HANDL,HANDR
0.2735522;1.72397;0.009039342;0.03716589;0.03779662;0.0008946116;0.9985937,0.0282516;1.455445;0.5362035;-0.5530294;0.5769791;0.1759298;0.5747194,0.5517956;1.482415;0.4935382;-0.5051126;-0.5317861;-0.08549142;0.674356
0.275511;1.723869;0.009144157;0.03686189;0.03597799;0.000590333;0.9986724,0.03051632;1.458562;0.5373723;-0.5539134;0.575606;0.1809721;0.5736783,0.5561482;1.482664;0.4965439;-0.5019169;-0.5319859;-0.08685671;0.676407
0.2774797;1.723797;0.00925532;0.03659387;0.03412599;0.0002037113;0.9987473,0.03180077;1.459934;0.5380858;-0.5538532;0.575816;0.1835571;0.5727036,0.5570421;1.483041;0.4979159;-0.5015034;-0.5318241;-0.08612755;0.6769339
0.2789488;1.723705;0.009378254;0.03634313;0.03231115;-0.0001807991;0.9988169,0.03374773;1.46189;0.5391213;-0.5524879;0.5775431;0.1870207;0.5711606,0.557646;1.48368;0.4992848;-0.5013747;-0.5316948;-0.08528776;0.6772372
0.2801338;1.723633;0.009555638;0.03606966;0.03067896;-0.0006570621;0.9988781,0.03495776;1.463192;0.5397548;-0.550675;0.5795156;0.188644;0.570379,0.5606554;1.483675;0.5016548;-0.5014541;-0.5316187;-0.08378898;0.6774252
0.2812948;1.723407;0.009751871;0.03544818;0.02908883;-0.001113829;0.9989474,0.03598695;1.464184;0.5405611;-0.5471681;0.5829564;0.1892766;0.570038,0.5616311;1.483277;0.5027885;-0.5015192;-0.5316798;-0.08359209;0.6773533
0.2821815;1.723157;0.009966344;0.03483201;0.02786778;-0.001509383;0.9990034,0.03650912;1.464429;0.5415221;-0.5427349;0.5863888;0.1869181;0.5715319,0.5622886;1.482906;0.5046788;-0.5015516;-0.5317254;-0.0836118;0.6772911
0.2838209;1.723112;0.01039343;0.03428992;0.02613381;-0.002488219;0.9990671,0.03782248;1.465822;0.543203;-0.53931;0.5875151;0.1836547;0.5746665,0.5661563;1.48374;0.5081091;-0.5023955;-0.5317995;-0.09178619;0.6755468
0.2850263;1.722762;0.01081853;0.03261917;0.02520085;-0.003050093;0.9991454,0.03674632;1.465456;0.5447729;-0.5397112;0.5843496;0.1848568;0.5771267,0.5686055;1.484071;0.5090756;-0.5049297;-0.5287364;-0.1028348;0.6744694
0.2855073;1.72253;0.01105142;0.03126359;0.02485429;-0.002857042;0.999198,0.03655864;1.46607;0.5458695;-0.5408062;0.5804026;0.1889089;0.5787702,0.5708969;1.484558;0.5103618;-0.5068125;-0.5257537;-0.1072161;0.6747066
0.2860694;1.722335;0.01124129;0.03005344;0.02417731;-0.00249025;0.9992528,0.03631841;1.46688;0.5469397;-0.543054;0.5755206;0.1943317;0.5797445,0.5724607;1.48475;0.5112479;-0.5081843;-0.5238585;-0.10944;0.6747918
0.2865908;1.722249;0.01141301;0.02919584;0.02343101;-0.002266938;0.9992965,0.0357501;1.467182;0.54818;-0.5449972;0.5727149;0.1971275;0.5797554,0.5732254;1.485114;0.5125447;-0.5106591;-0.5213394;-0.1134606;0.6742101
0.2869138;1.722246;0.01147139;0.02843284;0.02255475;-0.002155626;0.9993389,0.03543509;1.467416;0.5490564;-0.5483744;0.5694324;0.1995967;0.5789589,0.5749563;1.484792;0.5135405;-0.5120504;-0.5205771;-0.1162202;0.6732732
