HEAD,HANDL,HANDR
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384826;-0.5386318;-0.3214957;0.7413787
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728168;0.9401979;1.016039;-0.2384826;-0.5386318;-0.3214957;0.7413787
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384828;-0.5386316;-0.3214957;0.7413788
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384827;-0.5386316;-0.3214957;0.7413789
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384826;-0.5386316;-0.3214955;0.741379
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728169;0.940198;1.016039;-0.2384824;-0.5386317;-0.3214956;0.7413788
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384825;-0.5386315;-0.3214955;0.741379
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728169;0.940198;1.016039;-0.238482;-0.5386319;-0.3214956;0.7413789
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384822;-0.5386317;-0.3214955;0.741379
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.7728169;0.940198;1.016039;-0.238482;-0.5386319;-0.3214955;0.741379
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384821;-0.5386317;-0.3214954;0.7413791
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384818;-0.5386319;-0.3214954;0.7413791
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384818;-0.5386319;-0.3214953;0.7413791
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384818;-0.5386319;-0.3214953;0.7413791
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384818;-0.5386319;-0.3214953;0.7413792
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.9401979;1.016039;-0.2384817;-0.5386318;-0.3214953;0.7413792
-0.9302141;0.8211771;0.8715637;-0.06069031;-0.2615607;-0.02582944;0.9629307,-1.180917;0.9343098;0.8145971;-0.3288066;0.2654817;0.2165432;0.8800652,-0.772817;0.940198;1.016039;-0.2384816;-0.5386317;-0.3214953;0.7413793
